Code,Country,Language
AFR,Africa,English
BWA,Botswana,English
CMR,Cameroon,English
ETH,Ethiopia,English
ERI,Eritrea,English
GMB,The Gambia,English
GHA,Ghana,English
KEN,Kenya,English
LSO,Lesotho,English
LBR,Liberia,English
MWI,Malawi,English
MUS,Mauritius,English
NAM,Namibia,English
NGA,Nigeria,English
RWA,Rwanda,English
SYC,Seychelles,English
SLE,Sierra Leone,English
ZAF,South Africa,English
SSD,South Sudan,English
SDN,Sudan,English
SWZ,Swaziland,English
TZA,Tanzania,English
UGA,Uganda,English
ZMB,Zambia,English
ZWE,Zimbabwe,English
ATG,Antigua and Barbuda,English
BHS,The Bahamas,English
BRB,Barbados,English
BLZ,Belize,English
CAN,Canada,English
DMA,Dominica,English
GRD,Grenada,English
GUY,Guyana,English
JAM,Jamaica,English
KNA,Saint Kitts and Nevis,English
LCA,Saint Lucia,English
VCT,Saint Vincent and the Grenadines,English
TTO,Trinidad and Tobago,English
USA,United States,English
IND,India,English
PAK,Pakistan,English
PHL,Philippines,English
SGP,Singapore,English
AUS,Australia/Oceania,English
AUS,Australia,English
FJI,Fiji,English
KIR,Kiribati,English
MHL,Marshall Islands,English
FSM,Federated States of Micronesia,English
NRU,Nauru,English
NZL,New Zealand,English
PLW,Palau,English
PNG,Papua New Guinea,English
WSM,Samoa,English
SLB,Solomon Islands,English
TON,Tonga,English
TUV,Tuvalu,English
VUT,Vanuatu,English
IRL,Ireland,English
MLT,Malta,English
GBR,United Kingdom,English
